,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
102880,andujmi01,2017,1,NYA,AL,5,7,0,4,2,0,0,4.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0
102881,aokino01,2017,1,HOU,AL,71,202,28,55,12,1,2,19.0,5.0,2.0,15,29.0,1.0,2.0,1.0,4.0,11.0
102897,austity01,2017,1,NYA,AL,20,40,4,9,2,0,2,8.0,0.0,0.0,4,17.0,0.0,0.0,0.0,2.0,1.0
102900,avilalu01,2017,1,LAN,NL,61,2,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
102906,baezpe01,2017,1,LAN,NL,66,1,0,0,0,0,0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
102912,barneau01,2017,1,LAN,NL,102,218,35,63,15,2,8,38.0,4.0,1.0,39,43.0,1.0,5.0,0.0,0.0,6.0
102916,barnema01,2017,1,BOS,AL,70,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102937,bellico01,2017,1,LAN,NL,132,480,87,128,26,4,39,97.0,10.0,3.0,64,146.0,13.0,1.0,0.0,3.0,5.0
102941,beltrca01,2017,1,HOU,AL,129,467,60,108,29,0,14,51.0,0.0,0.0,33,102.0,3.0,3.0,0.0,6.0,9.0
102942,beninan01,2017,1,BOS,AL,151,573,84,155,26,1,20,90.0,20.0,5.0,70,112.0,7.0,6.0,1.0,8.0,16.0
102948,betande01,2017,1,NYA,AL,66,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102951,bettsmo01,2017,1,BOS,AL,153,628,101,166,46,2,24,102.0,26.0,3.0,77,79.0,9.0,2.0,0.0,5.0,9.0
