,yearID,round,playerID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
13598,2017,ALWC,castrst01,NYA,AL,1,4,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13599,2017,ALDS2,centeju01,HOU,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13602,2017,ALCS,chapmar01,NYA,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13603,2017,ALDS1,chapmar01,NYA,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13604,2017,ALWC,chapmar01,NYA,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13606,2017,NLCS,cingrto01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13607,2017,NLDS1,cingrto01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13608,2017,WS,cingrto01,LAN,NL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13612,2017,ALCS,correca01,HOU,AL,7,27,4,9,3,0,1,3,0,0.0,1,5,0,0.0,0.0,0.0,0.0
13613,2017,ALDS2,correca01,HOU,AL,4,17,3,4,1,0,2,6,0,0.0,2,4,0,0.0,0.0,0.0,1.0
13614,2017,WS,correca01,HOU,AL,7,29,3,8,1,0,2,5,0,0.0,1,4,0,0.0,0.0,0.0,0.0
13615,2017,NLCS,culbech01,LAN,NL,5,11,2,5,2,1,0,1,0,0.0,0,2,0,0.0,1.0,1.0,0.0
13616,2017,WS,culbech01,LAN,NL,5,5,2,3,0,0,1,1,0,0.0,0,1,0,0.0,0.0,0.0,0.0
13617,2017,NLCS,darviyu01,LAN,NL,1,2,0,0,0,0,0,1,0,0.0,1,1,0,0.0,0.0,0.0,0.0
13618,2017,NLDS1,darviyu01,LAN,NL,1,2,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1.0,0.0,0.0
13619,2017,WS,darviyu01,LAN,NL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13620,2017,ALDS2,davisra01,BOS,AL,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13628,2017,ALCS,devench02,HOU,AL,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13629,2017,ALDS2,devench02,HOU,AL,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
13630,2017,WS,devench02,HOU,AL,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
